epoch,learning_rate,training_loss,training_accuracy,validation_loss,validation_accuracy,validation_macro_f1
35,0.0740876837050858,0.28867808622784086,0.9000666666666667,0.4165861943244934,0.8648,0.8631929017222548
36,0.07269952498697738,0.2825025461355845,0.9028222222222222,0.4312795753955841,0.8538,0.8565602838037158
37,0.07128896457825366,0.27734301216867235,0.9028666666666667,0.49121129326820373,0.8438,0.8430394216270626
38,0.06985739453173906,0.2728543622069889,0.9062,0.4276585417509079,0.8604,0.8594677132462663
39,0.06840622763423394,0.2665004332171546,0.9082222222222223,0.38437382564544675,0.873,0.873302465626441
40,0.06693689601226462,0.25675691011216906,0.9131777777777778,0.5486226420164109,0.8316,0.8325876605641579
41,0.06545084971874741,0.2581610404809316,0.9112222222222223,0.3948574030637741,0.872,0.872924290861144
42,0.06394955530196152,0.25140967324839697,0.9143333333333333,0.39930129477977755,0.8706,0.8701828225077252
43,0.062434494358242776,0.24928205007447138,0.9144444444444444,0.4357656099081039,0.866,0.8663370729904791
44,0.06090716206982718,0.23511159700287712,0.9182444444444444,0.34618296698331835,0.8842,0.8841723368457988
45,0.05936906572928628,0.23457483090559642,0.9189555555555555,0.45400666499137876,0.8564,0.8613655747275251
46,0.05782172325201159,0.22945140614244672,0.9219555555555555,0.39595790791511537,0.8734,0.8718590673582346
47,0.056266661678215264,0.2236140712181727,0.9233111111111111,0.38483409314900635,0.8722,0.8721768958566811
48,0.05470541566592575,0.21754693151579962,0.9264,0.377799502825737,0.878,0.8780798626387798
49,0.053139525976465714,0.2093033713022868,0.9276888888888889,0.37128944623470306,0.8788,0.8783800188614036
50,0.05157053795390645,0.20728506997426352,0.9296444444444445,0.3623855470895767,0.8846,0.8826968893889863
51,0.05000000000000004,0.19442377392450969,0.9337555555555556,0.33901725054979326,0.89,0.8897380453717083
52,0.04842946204609362,0.20049688386387296,0.9321111111111111,0.3705383557617664,0.8774,0.875557842023545
53,0.04686047402353437,0.18718260664939881,0.9357111111111112,0.30890562949180606,0.8988,0.9001865831527522
54,0.045294584334074316,0.18174525237878164,0.9374222222222223,0.36343114943504334,0.8828,0.8818299096926612
55,0.043733338321784825,0.176390971271197,0.9400666666666667,0.35739801445007324,0.881,0.8813716116731456
56,0.042178276747988484,0.1691540768146515,0.9418222222222222,0.3374867300629616,0.8914,0.8914052360726956
57,0.0406309342707138,0.1689945096704695,0.9420444444444445,0.38446754312217235,0.8728,0.8726022455527088
58,0.039092837930172916,0.1599691083457735,0.9447111111111111,0.32913016031980513,0.8948,0.894706854110438
59,0.037565505641757285,0.15280205501582889,0.9467333333333333,0.3411388511657715,0.8972,0.8979038984704394
60,0.03605044469803857,0.1436886099126604,0.9510888888888889,0.33770809309482575,0.8964,0.8973746136768203
61,0.034549150281252675,0.13640019703441195,0.9527555555555556,0.2756085038661957,0.9084,0.9084217754732504
62,0.03306310398773546,0.13254339055485195,0.9538,0.28914030014276504,0.9092,0.9089542289628195
63,0.031593772365766146,0.12787408079571194,0.9564444444444444,0.31240116297602655,0.9018,0.902825361301162
64,0.030142605468260992,0.12065192587110732,0.9581333333333333,0.30550924843549726,0.9032,0.9038967158077087
65,0.028711035421746394,0.11013220646381378,0.9622666666666667,0.29174245058447124,0.9118,0.9123150314727895
66,0.027300475013022688,0.10955234447055393,0.9624222222222222,0.2870234651446342,0.911,0.9114776505536843
67,0.025912316294914254,0.09718422097100152,0.9665777777777778,0.2641029500305653,0.9206,0.9206018983008372
68,0.02454792921248146,0.09053448604477776,0.9692,0.3179818950265646,0.9026,0.903187231795642
69,0.02320866025105018,0.08832777625984616,0.9705333333333334,0.2860966988377273,0.9148,0.915103093599325
70,0.021895831107393487,0.08122545664906501,0.9724,0.2658381557486951,0.9224,0.9223336100003279
71,0.02061073738537637,0.07391409534878202,0.9748,0.2593295180350542,0.9204,0.9205273513305812
72,0.01935464731735119,0.06861947633425394,0.9768888888888889,0.2538670431911945,0.9306,0.9306355434600068
73,0.018128800512565532,0.059324448134170635,0.9802666666666666,0.23191251329481602,0.9314,0.9315955663037127
74,0.016934406733817433,0.05158525106277731,0.9830444444444445,0.2534854623168707,0.9216,0.921386421638306
75,0.01577264470356558,0.048863346695858574,0.9834222222222222,0.2571186222139746,0.9258,0.9260984142958723
76,0.014644660940672643,0.04017564606335428,0.9876222222222222,0.23587329178005456,0.9314,0.9314116127301112
77,0.013551568628929448,0.03275778392818239,0.9894,0.22771003549434243,0.9376,0.9376981242681179
78,0.012494446518477033,0.03045288892388344,0.9902888888888889,0.23840749696567654,0.9304,0.9306465488379668
79,0.011474337861210555,0.02375334022839864,0.9926,0.22377372952699662,0.9378,0.9380893391009929
80,0.01049224938121549,0.02140105387866497,0.9932888888888889,0.23793114770632237,0.9322,0.9316315843342355
81,0.009549150281252642,0.017322144913756186,0.9950444444444444,0.21660354153141378,0.9382,0.9381133358971224
82,0.008645971286271922,0.013938195410867531,0.996,0.2115335425324738,0.942,0.942160726737398
83,0.007783603724899264,0.011051610721399386,0.9969555555555556,0.21386909789964556,0.9426,0.942570118961149
84,0.006962898649802819,0.008285993688967493,0.9978444444444444,0.21930513258203865,0.9442,0.9442898491555181
85,0.0061846659978068265,0.007030450142837233,0.9983777777777778,0.21264224137961865,0.9432,0.9431705823487004
86,0.005449673790581615,0.005310098470602599,0.999,0.20367702770680188,0.9444,0.9443352844983115
87,0.004758647376699036,0.004270655242643423,0.9994444444444445,0.19592477999180555,0.9462,0.9460773174442665
88,0.004112268715800957,0.0036935329702165393,0.9995333333333334,0.1922291180819273,0.9484,0.9484317518225172
89,0.003511175705587435,0.0036349349021911623,0.9994666666666666,0.19398634014353155,0.9462,0.9462985162224069
90,0.0029559615522887295,0.0034313803355726933,0.9994222222222222,0.19635310820043086,0.9472,0.9471024896098503
91,0.0024471741852423253,0.003226884616083569,0.9996,0.19715723342560232,0.9478,0.9477665394559496
92,0.0019853157161528537,0.002680748582134644,0.9997555555555555,0.19340845466256143,0.9484,0.9483915687042914
93,0.0015708419435684529,0.002466197544998593,0.9998,0.19262074734792115,0.9494,0.9493170096469102
94,0.0012041619030626347,0.002578896665593816,0.9997333333333334,0.192163283944875,0.9506,0.9505663283833256
95,0.0008856374635655646,0.0023624827886621156,0.9998222222222222,0.1910248524233699,0.9516,0.9516012280101034
96,0.0006155829702431174,0.002420100023970008,0.9997555555555555,0.19067038033418357,0.9506,0.9505834277099356
97,0.00039426493427611206,0.0023854060967970227,0.9997777777777778,0.19162933889180422,0.9502,0.950191942655465
98,0.00022190176984600036,0.0021082019145290056,0.9999777777777777,0.18988499396517872,0.9512,0.9511573760499251
99,9.866357858642213e-05,0.0022879141674894427,0.9997777777777778,0.19041427282691,0.9506,0.9506126412068119
100,2.4671981713420017e-05,0.0023270407253255447,0.9998,0.19026367622613907,0.9498,0.9497874586891397
