epoch,train_loss,train_accuracy,val_accuracy
1,2.2580795269012452,0.40475,0.7790000438690186
2,2.1677034168243408,0.91625,0.971000075340271
3,2.0804332847595215,0.97275,0.9760000705718994
4,1.995558678627014,0.9785,0.9810000658035278
5,1.913273871421814,0.97725,0.9810000658035278
6,1.833658452987671,0.9775,0.9810000658035278
7,1.7565244827270508,0.979,0.9820000529289246
8,1.6821200542449952,0.97975,0.9820000529289246
9,1.6102239294052123,0.97975,0.9820000529289246
10,1.5409951381683349,0.97975,0.9830000400543213
11,1.474439697265625,0.98,0.9820000529289246
12,1.4103876609802246,0.9805,0.9810000658035278
13,1.3490596103668213,0.9805,0.9810000658035278
14,1.2902654132843017,0.9805,0.9830000400543213
15,1.234067657470703,0.98075,0.984000027179718
16,1.1805173168182372,0.981,0.9810000658035278
17,1.1293912410736084,0.981,0.9810000658035278
18,1.0807718896865846,0.981,0.9810000658035278
19,1.0344670877456665,0.981,0.9810000658035278
20,0.9905238637924194,0.981,0.9810000658035278
