model,evaluation,accuracy,macro_f1,mean_max_confidence
resnet50,linear_head,0.976,0.9760555313263286,0.8978341221809387
vit_b_16,linear_head,0.974,0.9738947522603401,0.9589771032333374
clip_vit_b_32,linear_head,0.984,0.9840160592639411,0.30502304434776306
clip_vit_b_32,zero_shot,0.98,0.9798839921143818,0.9547561407089233
