model,intervention,image_identifier,cosine_stability
resnet50,grayscale,805,0.7998836636543274
resnet50,grayscale,2028,0.7378519177436829
resnet50,grayscale,2392,0.8391166925430298
resnet50,grayscale,3292,0.7977232933044434
resnet50,grayscale,1440,0.849479079246521
resnet50,grayscale,1115,0.8348947763442993
resnet50,grayscale,4242,0.8187759518623352
resnet50,grayscale,2230,0.760921835899353
resnet50,grayscale,3163,0.839260995388031
resnet50,grayscale,545,0.8216472864151001
resnet50,grayscale,3863,0.9152917861938477
resnet50,grayscale,4748,0.8961809873580933
resnet50,grayscale,2399,0.8281229138374329
resnet50,grayscale,4341,0.7237764000892639
resnet50,grayscale,3078,0.9704874753952026
resnet50,grayscale,3763,0.812385082244873
resnet50,grayscale,2958,0.7992172837257385
resnet50,grayscale,6381,0.9201474189758301
resnet50,grayscale,1640,0.8082367777824402
resnet50,grayscale,1783,0.7071302533149719
resnet50,grayscale,3914,0.8291268348693848
resnet50,grayscale,1534,0.9721095561981201
resnet50,grayscale,685,0.817030131816864
resnet50,grayscale,4617,0.8065211176872253
resnet50,grayscale,5508,0.9159258008003235
resnet50,grayscale,1022,0.8440062403678894
resnet50,grayscale,1230,0.7645235061645508
resnet50,grayscale,7475,0.7472354769706726
resnet50,grayscale,5756,0.9932699203491211
resnet50,grayscale,3122,0.6895317435264587
resnet50,grayscale,7202,0.5960911512374878
resnet50,grayscale,4723,0.8686800003051758
resnet50,grayscale,1552,0.8346495032310486
resnet50,grayscale,603,0.9108545780181885
resnet50,grayscale,2861,0.9999998807907104
resnet50,grayscale,6426,0.9634786248207092
resnet50,grayscale,7864,0.632490336894989
resnet50,grayscale,5729,0.7001546025276184
resnet50,grayscale,7474,0.6176112294197083
resnet50,grayscale,4298,0.8993394374847412
resnet50,grayscale,1175,0.9101625084877014
resnet50,grayscale,3454,0.9366504549980164
resnet50,grayscale,2754,0.7271822690963745
resnet50,grayscale,855,0.8238580226898193
resnet50,grayscale,2854,0.7381961345672607
resnet50,grayscale,5092,0.7193366885185242
