method,radius,original_loss,perturbed_loss,sharpness_delta,gradient_norm,original_accuracy,samples_per_domain,total_samples,batch_seed
erm,0.05,0.16833536326885223,0.6460604071617126,0.4777250289916992,7.379428863525391,0.9479166865348816,32,96,6304
dan_dg,0.05,1.9416040182113647,2.003553867340088,0.061949849128723145,0.7891664505004883,0.21875,32,96,6304
sam,0.05,0.1746133416891098,0.31383928656578064,0.13922594487667084,2.4748499393463135,0.9479166865348816,32,96,6304
