method,selected_epoch,source_selection_macro_f1,target_accuracy,target_macro_f1,target_loss,number_of_target_samples
dan_dg_lambda_0p1,13,0.9485386903304263,0.7146856706541105,0.7132503788141097,0.897921621799469,3929
sam,11,0.9515140737316559,0.6042249936370577,0.6300857083498398,1.1336476802825928,3929
erm,12,0.9366743407680399,0.6482565538304912,0.6240024389156957,1.6438179016113281,3929
dan_dg,1,0.05066996495567924,0.04072283023670145,0.011179820424134438,1.9575154781341553,3929
dan_dg_lambda_10p0,2,0.05066996495567924,0.04072283023670145,0.011179820424134438,1.9652215242385864,3929
