epoch,training_total_loss,training_classification_loss,training_alignment_loss,training_unperturbed_loss,training_source_accuracy,mean_sam_gradient_norm,mean_source_validation_accuracy,mean_source_validation_macro_f1,worst_source_validation_accuracy,worst_source_validation_macro_f1,photo_validation_accuracy,photo_validation_macro_f1,art_painting_validation_accuracy,art_painting_validation_macro_f1,cartoon_validation_accuracy,cartoon_validation_macro_f1
1,1.0690147489564032,1.0690147489564032,,0.725105477990503,0.7501780626780625,5.7475497834702844,0.8926949055760236,0.8853894247124683,0.8560975609756097,0.8405707320238326,0.937125748502994,0.925970357436981,0.8560975609756097,0.8405707320238326,0.8848614072494669,0.8896271846765912
2,0.4995176102170068,0.4995176102170068,,0.2308028357055707,0.933938746438747,4.414712865128476,0.9153268998951497,0.9093382870947923,0.8804878048780488,0.8684186335944236,0.9401197604790419,0.9296850328125741,0.8804878048780488,0.8684186335944236,0.9253731343283582,0.9299111948773788
3,0.37309025530504364,0.37309025530504364,,0.15320813310985318,0.9569088319088325,3.409932822880582,0.9229748522093573,0.9189402416079684,0.8829268292682927,0.8757140707753981,0.9520958083832335,0.9438482743531785,0.8829268292682927,0.8757140707753981,0.9339019189765458,0.9372583796953283
4,0.31206540569153607,0.31206540569153607,,0.11499028099286887,0.9690170940170948,2.9092210779587426,0.9385971413561665,0.9390584087021726,0.9024390243902439,0.9042078878782265,0.9730538922155688,0.9667681801402732,0.9024390243902439,0.9042078878782265,0.9402985074626866,0.9461991580880181
5,0.25662276500629055,0.25662276500629055,,0.08305328516846794,0.9804131054131066,2.3899967884406066,0.9306716122074848,0.9320872602847993,0.8829268292682927,0.8860777089043059,0.9730538922155688,0.967114580440846,0.8829268292682927,0.8860777089043059,0.9360341151385928,0.9430694915092462
6,0.21961783993447948,0.21961783993447948,,0.06383058923628962,0.9836182336182344,2.0450586972710414,0.9391424338384441,0.9373730081237769,0.9121951219512195,0.9062549716332541,0.9670658682634731,0.9617442937165073,0.9121951219512195,0.9062549716332541,0.9381663113006397,0.9441197590215695
7,0.19616969077824017,0.19616969077824017,,0.04891723957176805,0.988069800569801,1.8288429324260442,0.9424576298544416,0.9439014783698596,0.9097560975609756,0.912655960456753,0.9730538922155688,0.9675841698986003,0.9097560975609756,0.912655960456753,0.9445628997867804,0.9514643047542254
8,0.164333421139954,0.164333421139954,,0.03280444835829071,0.9923433048433055,1.3322207714693668,0.941162492737755,0.9426466603112602,0.8853658536585366,0.8856765529548609,0.9850299401197605,0.9828157378317991,0.8853658536585366,0.8856765529548609,0.9530916844349681,0.9594476901471206
9,0.16356431556722292,0.16356431556722292,,0.03087791055515528,0.9953703703703706,1.3371865109691763,0.9404420655802129,0.9410261500310849,0.9024390243902439,0.9050543925705791,0.9700598802395209,0.9635596416955303,0.9024390243902439,0.9050543925705791,0.9488272921108742,0.9544644158271453
10,0.1476175226470153,0.1476175226470153,,0.02303330086218392,0.9964387464387467,1.1648595629052982,0.9375307733900341,0.9370926810609209,0.8975609756097561,0.8975041153289076,0.9640718562874252,0.9573103100973687,0.8975609756097561,0.8975041153289076,0.9509594882729211,0.9564636177564865
11,0.13001719433177486,0.13001719433177486,,0.01765707748974166,0.9969729344729348,0.9495109970140088,0.950923251006957,0.9515140737316559,0.9219512195121952,0.9239444762879704,0.9670658682634731,0.9622677065220303,0.9219512195121952,0.9239444762879704,0.9637526652452025,0.968330038384967
12,0.1237189177578936,0.1237189177578936,,0.013174152047322111,0.9978632478632479,0.757585443623969,0.9401156810618193,0.9389704998277192,0.8878048780487805,0.8893264269520237,0.9730538922155688,0.9673341113869238,0.8878048780487805,0.8893264269520237,0.9594882729211087,0.9602509611442104
13,0.11106044175819708,0.11106044175819708,,0.010021844414118705,0.9980413105413105,0.6581900603094131,0.9475350303086167,0.9476077060876938,0.9121951219512195,0.9133236573401928,0.9730538922155688,0.9689069893583463,0.9121951219512195,0.9133236573401928,0.9573560767590619,0.9605924715645427
14,0.10634014129332212,0.10634014129332212,,0.00841434017421019,0.998931623931624,0.5810801252328719,0.9462985620625202,0.9455390310005098,0.9097560975609756,0.9067736895319062,0.9760479041916168,0.9721815543473472,0.9097560975609756,0.9067736895319062,0.9530916844349681,0.9576618491222761
15,0.09862472921506399,0.09862472921506399,,0.007119746076009155,0.9985754985754985,0.5285601328240517,0.9472138462686672,0.944941743925383,0.9146341463414634,0.9067163769127443,0.9760479041916168,0.9732188072064876,0.9146341463414634,0.9067163769127443,0.9509594882729211,0.9548900476569171
16,0.0906387359507354,0.0906387359507354,,0.004567595394933168,0.9991096866096867,0.3886879269525202,0.9453005580705042,0.943509128308266,0.9097560975609756,0.9064279488089539,0.9730538922155688,0.9688772197613996,0.9097560975609756,0.9064279488089539,0.9530916844349681,0.9552222163544446
