method,maximum_grl_strength,domain_accuracy,domain_balanced_accuracy,domain_roc_auc
dann_grl_0p1,0.1,0.9986263736263736,0.9986263736263736,1.0
dann_grl_1p0,1.0,0.9917582417582418,0.9917582417582418,0.9996301775147929
