epoch,training_total_loss,training_classification_loss,training_alignment_loss,training_domain_loss,training_source_accuracy,mean_grl_strength,mean_source_validation_accuracy,worst_source_validation_accuracy,mean_source_validation_macro_f1,worst_source_validation_macro_f1,checkpoint_improved,photo_validation_accuracy,photo_validation_macro_f1,art_painting_validation_accuracy,art_painting_validation_macro_f1,cartoon_validation_accuracy,cartoon_validation_macro_f1
1,4.330586747226552,1.946704142114036,0.23838826122446957,,0.18358262108262108,,0.21656837139595686,0.17270788912579957,0.05066996495567924,0.04207792207792208,True,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208
2,3.9974879973973985,1.941174398120652,0.2056313590106801,,0.21082621082621084,,0.21656837139595686,0.17270788912579957,0.05066996495567924,0.04207792207792208,False,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208
3,4.055333642878084,1.9397556771579971,0.21155779585879073,,0.21634615384615385,,0.21656837139595686,0.17270788912579957,0.05066996495567924,0.04207792207792208,False,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208
4,4.038406654300853,1.9376884887361119,0.21007181538475883,,0.2159900284900285,,0.21656837139595686,0.17270788912579957,0.05066996495567924,0.04207792207792208,False,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208
5,4.257108313405616,1.9342148950976183,0.23228934127041417,,0.21581196581196582,,0.21656837139595686,0.17270788912579957,0.05066996495567924,0.04207792207792208,False,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208
6,4.75304024036114,1.931177353247618,0.28218628860946393,,0.21883903133903135,,0.21656837139595686,0.17270788912579957,0.05066996495567924,0.04207792207792208,False,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208
