method,domain_accuracy,domain_balanced_accuracy,domain_roc_auc,source_samples,target_samples,diagnostic_train_samples,diagnostic_test_samples
source_only,0.9862637362637363,0.9862637362637363,0.9996075353218211,1213,1213,1698,728
dan,0.8516483516483516,0.8516483516483516,0.931650766815602,1213,1213,1698,728
dann,0.9986263736263736,0.9986263736263736,1.0,1213,1213,1698,728
cdan,0.9848901098901099,0.9848901098901099,0.9990414804975245,1213,1213,1698,728
