method,mmd_weight,domain_accuracy,domain_balanced_accuracy,domain_roc_auc
dan_lambda_0p1,0.1,0.9546703296703297,0.9546703296703296,0.9886789035140684
dan_lambda_1,1.0,0.8516483516483516,0.8516483516483516,0.931650766815602
dan_lambda_10,10.0,0.717032967032967,0.717032967032967,0.7935560318802076
