epoch,training_total_loss,training_classification_loss,training_alignment_loss,training_domain_loss,training_source_accuracy,mean_grl_strength,mean_source_validation_accuracy,worst_source_validation_accuracy,mean_source_validation_macro_f1,worst_source_validation_macro_f1,checkpoint_improved,photo_validation_accuracy,photo_validation_macro_f1,art_painting_validation_accuracy,art_painting_validation_macro_f1,cartoon_validation_accuracy,cartoon_validation_macro_f1
1,3.0896861508616014,0.554205442372805,,2.5354806958482814,0.8201566951566952,0.08260915400200104,0.7429985418937983,0.6634146341463415,0.7312846403588261,0.6466689893446207,True,0.8982035928143712,0.8731595422898325,0.6634146341463415,0.6740253894420253,0.6673773987206824,0.6466689893446207
2,589.2674050901691,103.59672114571445,,485.6706853728009,0.4718660968660969,0.24408614937889642,0.5520958291436265,0.4926829268292683,0.510441984583135,0.4600692592412465,False,0.6646706586826348,0.6057994453170148,0.4926829268292683,0.4600692592412465,0.4989339019189765,0.46545724919114384
3,61.72634952496259,16.87637603044128,,44.849973359933266,0.6725427350427351,0.39309897061751015,0.7443749455688446,0.6951219512195121,0.7332399676600838,0.685343533038887,True,0.8023952095808383,0.7625813915113461,0.6951219512195121,0.685343533038887,0.7356076759061834,0.7517949784300182
4,3416.1697262981506,1687.4177911909949,,1728.7519392336949,0.5297364672364673,0.5240070630815469,0.4360225723600903,0.36829268292682926,0.31932037679709496,0.2901140992658729,False,0.5389221556886228,0.33835577022148905,0.36829268292682926,0.2901140992658729,0.40085287846481876,0.3294912609039229
5,297.9093844070394,156.25703337393765,,141.65235242247581,0.463497150997151,0.634123711583934,0.3825795286539615,0.25609756097560976,0.31233230696033343,0.1717956821912363,False,0.5568862275449101,0.4397434288492167,0.25609756097560976,0.1717956821912363,0.3347547974413646,0.32545780984054734
6,223.18111330117935,92.7534005125491,,130.4277154340958,0.6436965811965812,0.7234125291875587,0.14507816236059787,0.12366737739872068,0.03613773744254439,0.0314448359989157,False,0.16766467065868262,0.041025641025641026,0.14390243902439023,0.035942735303076456,0.12366737739872068,0.0314448359989157
7,484.6312334557884,272.772995734444,,211.85823897367868,0.4082977207977208,0.793678900622878,0.42681767361319795,0.34541577825159914,0.25919849469276307,0.24004510617210933,False,0.5179640718562875,0.28699632512889817,0.4170731707317073,0.2505540527772817,0.34541577825159914,0.24004510617210933
8,49.73022044571037,25.218106421586285,,24.512113851614487,0.6087962962962963,0.847682664347522,0.7756769471094733,0.6951219512195121,0.7632071544728826,0.68279053811328,True,0.8323353293413174,0.8042651036850582,0.6951219512195121,0.68279053811328,0.7995735607675906,0.8025658216203094
9,35.104629528828156,17.88258474921951,,17.222044909357006,0.6321225071225072,0.8884368412188088,0.5168500795486358,0.4562899786780384,0.46695923288267366,0.41718960745207295,False,0.6137724550898204,0.5658041732637625,0.48048780487804876,0.41788391793218554,0.4562899786780384,0.41718960745207295
10,507.39852461855634,241.37391966836066,,266.0246056246961,0.2841880341880342,0.9187699533879432,0.255212202875958,0.21535181236673773,0.16786098218929893,0.1291548547899364,False,0.2844311377245509,0.21000083019009544,0.2658536585365854,0.16442726158786497,0.21535181236673773,0.1291548547899364
11,152241.5403031019,52650.03175316522,,99591.50967472307,0.3311965811965812,0.9411150273145538,0.08619721397602113,0.057569296375266525,0.02256571345799945,0.01555299539170507,False,0.11077844311377245,0.02849441663457836,0.09024390243902439,0.023649728347714925,0.057569296375266525,0.01555299539170507
12,725035.2252938034,325965.1203258547,,399070.10543536325,0.14903846153846154,0.957450799251004,0.21656837139595686,0.17270788912579957,0.05066996495567924,0.04207792207792208,False,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208
13,188751.32638888888,141469.64587089344,,47281.68046165531,0.14565527065527065,0.9693269635923084,0.15514986979600529,0.11377245508982035,0.03820239204948677,0.029185867895545316,False,0.11377245508982035,0.029185867895545316,0.18536585365853658,0.04467960023515579,0.16631130063965885,0.040741708017759205
